Station,SPEI,Lead Time,Model,MAE,MSE,RMSE,RRMSE (%),R2
Dipayal,SPEI-1,Lead 30,Random Forest,0.22449412916822042,0.6103191490726074,0.781229255131045,115.40387248771758,-0.07781780222147772
Dipayal,SPEI-1,Lead 30,LSTM,0.19768014585532115,0.593032263456628,0.7700858805721787,113.75776339972833,-0.04728932693083521
Dipayal,SPEI-1,Lead 30,Transformer,0.2422257123254488,0.6394639641881644,0.7996649074382122,118.12720325664448,-0.12928726802757828
Okhaldhunga,SPEI-1,Lead 30,Random Forest,0.2574645239022445,0.7663539757260164,0.8754164584505002,115.71073169408825,0.034308612845673436
Okhaldhunga,SPEI-1,Lead 30,LSTM,0.2876857946857058,0.7973358371702509,0.8929366367051197,118.02651251552858,-0.004731984192218652
Okhaldhunga,SPEI-1,Lead 30,Transformer,0.3317219679655939,0.8449008963070278,0.919184908659312,121.49595465841554,-0.06466925781875155
Kathmandu_Airport,SPEI-1,Lead 30,Random Forest,0.060362466967782746,0.007057661619998034,0.08400989001300997,9.20833530637581,0.6859256934619098
Kathmandu_Airport,SPEI-1,Lead 30,LSTM,0.07430498614233498,0.008819305402769121,0.09391115696640694,10.293614504464248,0.6075304573013638
Kathmandu_Airport,SPEI-1,Lead 30,Transformer,0.1364548807033152,0.02209688879950874,0.1486502230052439,16.293570871094413,0.016662260104652882
Nepalgunj_Airport,SPEI-1,Lead 60,Random Forest,0.08443934945556306,0.015209366925173136,0.12332626210654865,13.523131522877705,-0.831920191086857
Nepalgunj_Airport,SPEI-1,Lead 60,LSTM,0.057970203004886756,0.005797312265277417,0.0761400831709384,8.349011324075253,0.3017320546577392
Nepalgunj_Airport,SPEI-1,Lead 60,Transformer,0.11501458016661642,0.01712617205495873,0.1308670013982086,14.349998464914329,-1.0627933126907085
Parwanipur,SPEI-1,Lead 60,Random Forest,0.0722076123626387,0.010901415299470744,0.10440984292427005,10.76752983835402,-0.3511511983994027
Parwanipur,SPEI-1,Lead 60,LSTM,0.08425717789595553,0.01130762730342232,0.10633732789299494,10.966306613918919,-0.40149822407138513
Parwanipur,SPEI-1,Lead 60,Transformer,0.13778405078052144,0.026290903367266333,0.1621446988565039,16.721583273855295,-2.2585663985674787
Jumla,SPEI-1,Lead 60,Random Forest,0.13211924072352035,0.036051726756973976,0.18987292265347888,20.520193891320854,-0.9403879992466107
Jumla,SPEI-1,Lead 60,LSTM,0.17880126371900712,0.0474293803162797,0.21778287424928458,23.53651454536446,-1.5527598441483708
Jumla,SPEI-1,Lead 60,Transformer,0.15616403680118612,0.042749521369069454,0.20675957382687132,22.345190059339572,-1.3008789231443023
Dhankuta,SPEI-1,Lead 60,Random Forest,0.07353330149308111,0.007716806671337235,0.08784535657242923,9.732053035417,0.5630768591986199
Dhankuta,SPEI-1,Lead 60,LSTM,0.10086484461976308,0.017726269402898103,0.13314003681424347,14.750078432947705,-0.0036557389694875653
Dhankuta,SPEI-1,Lead 60,Transformer,0.10383503581698221,0.016946864281658185,0.13018012245215543,14.42216077541754,0.04047393124678267
Taplejung,SPEI-1,Lead 60,Random Forest,0.08174748043221196,0.010669572121886779,0.10329362091575055,11.730056358869623,0.713848435479363
Taplejung,SPEI-1,Lead 60,LSTM,0.0807042788925985,0.009338147395646467,0.0966340902355192,10.973797942229844,0.7495564530177227
Taplejung,SPEI-1,Lead 60,Transformer,0.13593099963975505,0.02872789189905161,0.16949304380726546,19.24768382277148,0.22953506303871796
Pokhara_Airport,SPEI-1,Lead 60,Random Forest,0.10032251193899414,0.014892348450698645,0.12203421016542305,12.828795066927784,0.6969463661175959
Pokhara_Airport,SPEI-1,Lead 60,LSTM,0.11018140273755703,0.018059025900499133,0.13438387515062636,14.127048409376808,0.6325056829256523
Pokhara_Airport,SPEI-1,Lead 60,Transformer,0.15094617784805525,0.03112332209116284,0.17641803221655897,18.545871508890695,0.3666522181209828
Dhangadhi,SPEI-1,Lead 60,Random Forest,0.07592769130475728,0.01107055080011857,0.10521668498920962,10.911140280099978,-0.022312943154118692
Dhangadhi,SPEI-1,Lead 60,LSTM,0.07436464592198248,0.007282433190942542,0.0853371735584355,8.84960281631016,0.3275017798865101
Dhangadhi,SPEI-1,Lead 60,Transformer,0.17679766554497556,0.038876671651992364,0.197171680654176,20.44702194429924,-2.5900765313464738
Dadeldhura,SPEI-1,Lead 60,Random Forest,0.1054153980915216,0.018277928195118504,0.13519588823303208,15.563693423064889,0.4778783924593867
